Cuestionario,Pregunta,Respuesta
DERECHO PROCESAL CIVIL,9,Este requisito debe cumplirse en las preguntas que se formulen al testigo.i) No implicar la respuesta
DERECHO PROCESAL CIVIL,10,Es el medio para interrogar a los secretarios de Estado.j) Por oficio
DERECHO PROCESAL CIVIL,1,En el ___________________________ se busca que el juez investigue la verdad respecto a los puntos controvertidos.Interrogatorio judicial
DERECHO PROCESAL CIVIL,2,"En el _____________________, se persigue que estas acrediten los hechos de sus pretensiones.Interrogatorio de las partes"
DERECHO PROCESAL CIVIL,3,"De acuerdo con el artículo 361 del Código de Procedimientos Civiles para el Distrito Federal, el testigo debe ser interrogado primeramente por:El oferente de la prueba"
DERECHO PROCESAL CIVIL,4,"De acuerdo con el artículo 360 del Código de Procedimientos Civiles para el Distrito Federal, los testigos pueden ser interrogados a través de un:Interrogatorio escrito"
DERECHO PROCESAL CIVIL,5,"Previo a rendir su testimonio, el testigo debe ser ___________, para que se conduzca con verdad en su declaración.Protestado"
DERECHO PROCESAL CIVIL,6,"Una vez que el testigo ha sido interrogado por la parte que lo presente, la contraparte tiene el derecho de:Repreguntar"
DERECHO PROCESAL CIVIL,7,Las preguntas que se formulen al testigo deben tener relación directa con los:Hechos controvertidos
DERECHO PROCESAL CIVIL,8,"La prueba _______________________ , no es admisible para tachar a los testigos.Testimonial"
DERECHO PROCESAL CIVIL,9,A través de la _________________ se busca nulificar el valor de la declaración de un testigo.Tacha de testigos
DERECHO PROCESAL CIVIL,10,"Cuando se requiera la declaración de dos testigos, estos deben ser interrogados en esta forma:Separada"
DERECHO PROCESAL CIVIL,1,La presunción legal se caracteriza porque la consecuencia nace inmediata y directamente de la ley.Verdadero
DERECHO PROCESAL CIVIL,2,"Las presunciones no son medios probatorios.Verdadero (Es el consenso que se advierte en la doctrina, ya que se les considera que su naturaleza se determina por la función que están llamadas a cumplir)."
DERECHO PROCESAL CIVIL,3,El indicio es el hecho conocido de que se parte para establecer la presunción y conjetura.Verdadero
DERECHO PROCESAL CIVIL,4,La presunción humana está a cargo del juez.Verdadero (A diferencia de la presunción legal que se establece en la ley).
DERECHO PROCESAL CIVIL,5,El objetivo de la ficción legal es crear una situación jurídica que substituye a la realidad.Verdadero
DERECHO PROCESAL CIVIL,1,Son los razonamientos expresados verbalmente al juez en torno a su actuación durante el proceso.A) Alegatos
DERECHO PROCESAL CIVIL,2,"Son las reflexiones que las partes presentan por escrito al juez, proponiéndole el pronunciamiento que debe recaer en la controversia.E) Conclusiones"
DERECHO PROCESAL CIVIL,3,Es el tiempo del que disponen las partes para formular sus alegatos en forma verbal.B) 15 minutos
DERECHO PROCESAL CIVIL,4,A través de esta resolución se divide la instrucción del juicio.D) Citación para sentencia
DERECHO PROCESAL CIVIL,5,Esta etapa tiene lugar al finalizar el desahogo de pruebas.F) Conclusiva
DERECHO PROCESAL CIVIL,6,Es el momento procesal en el que se expresan los alegatos.C) Audiencia de pruebas
DERECHO PROCESAL CIVIL,1,Es el procedimiento mediante el cual el tribunal interno reconoce eficacia a las sentencias extranjeras que cumplan determinados requisitos formales.C) Exequatur
DERECHO PROCESAL CIVIL,2,"La sentencia que se pretende sea reconocida en el territorio nacional, para proceder a su ejecución, debe gozar de esta autoridad.A) Cosa juzgada"
DERECHO PROCESAL CIVIL,3,Esta es la vía para tramitar el procedimiento de reconocimiento u homologación.E) Incidental del
DERECHO PROCESAL CIVIL,4,Es el tipo de sentencia que resuelve el fondo del asunto planteado.B) Definitiva
DERECHO PROCESAL CIVIL,5,Es un requisito sustancial de la sentencia que obliga al juzgador a resolver todos y cada uno de los puntos sometidos a su conocimiento.D) Exhaustividad
DERECHO PROCESAL CIVIL,1,"En este apartado de la sentencia se expresa el lugar y fecha en el cual se dicta dicha resolución, así como los nombres de las partes y la identificación del juicio que se está sentenciando.q) Preámbulo"
DERECHO PROCESAL CIVIL,2,"En este apartado de la sentencia se detallan los antecedentes del asunto, haciendo alusión a la posición de las partes, sus afirmaciones y los argumentos expuestos por las mismas durante el juicio, incluyendo las pruebas que rindieron.d) Considerandos"
DERECHO PROCESAL CIVIL,3,"Esta es la parte más importante de la sentencia, ya que se constituye con las conclusiones y opiniones del tribunal, derivadas de la confrontación entre los intereses de las partes en el juicio.n) Motivación"
DERECHO PROCESAL CIVIL,4,"Esta es la parte en la que se expresa el sentido de la sentencia, si absuelve o condena al demandado así como los plazos para su cumplimiento.r) Resolutivos"
DERECHO PROCESAL CIVIL,5,"Con base en este requisito, la sentencia debe contener una correspondencia lógica entre lo aducido por las partes y lo que está resolviendo el tribunal.c) Congruencia"
DERECHO PROCESAL CIVIL,6,"Este es un requisito sustancial, en virtud del cual el tribunal está obligado a expresar los argumentos y las razones que fundamentan su resolución.n) Motivación"
DERECHO PROCESAL CIVIL,7,"Con base en este requisito, el tribunal está obligado a agotar en la sentencia todos y cada una de los puntos planteados por las partes en el juicio, refiriéndose puntualmente a cada uno de ellos.j) Exhaustividad"
DERECHO PROCESAL CIVIL,8,"Esta autoridad de cosa juzgada la adquieren las sentencias definitivas inimpugnables, que han resuelto el fondo del asunto, y cuyo resultado puede ser oponible en cualquier otro juicio.l) Material"
DERECHO PROCESAL CIVIL,9,Esta es la fuerza de cosa juzgada que adquieren determinadas resoluciones judiciales limitada al proceso mismo en el cual se han dictado.m) Formal
DERECHO PROCESAL CIVIL,10,Es la finalidad que ha perseguido el legislador con la institución de cosa juzgada material.h) Definitividad
DERECHO PROCESAL CIVIL,11,Son los límites de la cosa juzgada material se refieren a los objetos y cuestiones que se decidieron y definieron en la sentencia.o) Objetivos
DERECHO PROCESAL CIVIL,12,Este campo de limitación de la cosa juzgada se refiere a las personas que fueron afectadas por la sentencia dictada.t) Subjetivo
DERECHO PROCESAL CIVIL,13,"Por regla general, sólo estos sujetos pueden ser afectados por la sentencia que se dicte.p) Partes"
DERECHO PROCESAL CIVIL,14,"Son las cantidades que la parte perdedora debe pagar a su contraparte por la tramitación del juicio, si procedió con temeridad o mala fe.g) Costas procesales"
DERECHO PROCESAL CIVIL,15,Es otra de las causas por las que el juez puede condenar a la parte perdedora a pagar costas procesales a la parte vencedora.i) Disposición legal
DERECHO PROCESAL CIVIL,16,Es la vía procedente para que la parte vencedora reclame el pago de los gastos y costas generados en el juicio.k) Incidental
DERECHO PROCESAL CIVIL,17,"Para que la parte vencedora tenga derecho a que se le paguen los honorarios de abogados, debe acreditar que durante el juicio fue asesorada por un profesionista que cuente con este requisito.b) Cédula profesional"
DERECHO PROCESAL CIVIL,18,"Es la fuerza adquirida por una sentencia definitiva que ya no puede ser discutida, y menos modificada en una resolución ulterior.f) Cosa juzgada"
DERECHO PROCESAL CIVIL,19,Es la consecuencia inmediata verificada en los casos en que la sentencia definitiva no es recurrida a través de los recursos ordinarios contemplados en la ley adjetiva secundaria.a) Causa ejecutoria
DERECHO PROCESAL CIVIL,20,"Este tipo de sentencia crea, modifica o extingue una relación jurídica.e) Constitutiva"
DERECHO CONSTITUCIONAL,Definición de DERECHO CONSTITUCIONAL,"El derecho constitucional regula la estructura de la administración pública, el funcionamiento de los órganos políticos supremos, define la posición del individuo frente al Estado y señala la forma de gobierno del país. Es decir estudio lo que tenga que ver con la organización del Estado señalándole sus facultades y su relación."
DERECHO CONSTITUCIONAL,Cuales son los métodos de interpretación en los que se apoya el Derecho Constitucional y en que consiste cada uno de ellos.,"El método lógico que sirve para desentrañar el sentido de la norma - El Método histórico consiste en analizar las distintas constituciones que han existido para señalar sus cambios y evolución - El Método crítico valorativo en donde se critica los valores que rodearon a cierta constitución, para saber porque se hizo de tal manera un precepto."
DERECHO CONSTITUCIONAL,Cual es la razón por la que el derecho constitucional adquirió esa denominación,Hasta el siglo XIX una vez que se estableció la costumbre de reunir las normas jurídicas concernientes a las instituciones políticas en un texto especial de carácter solemne llamado constitución.
DERECHO CONSTITUCIONAL,Porque los juristas de principios del siglo XX destacaban la importancia del Estado de Derecho.,Para mantener a los gobernantes sometidos a las normas jurídicas.
DERECHO CONSTITUCIONAL,Concepto de Derecho Constitucional según Karl Smitch:,"El Derecho Constitucional Estudia la Constitución de un Estado u organización de este. Desde el punto de vista del documento por el cual es regulado, este documento llamado Constitución debe contener las características de ser absoluto, relativo, e ideal."
DERECHO CONSTITUCIONAL,Concepto de Derecho Constitucional según Karl Lowestein:,"El Derecho Constitucional analiza la teoría de la constitución, dice que se encuentra bajo un orden sistemático y unitario, y nos explica, el orden constitucional en la dinámica del proceso político."
DERECHO CONSTITUCIONAL,Concepto de Derecho Constitucional según Ignacio Burgoa Origuela:,"Define el derecho constitucional como el que estudia la constitución pero no la constitución en abstracto sino como un conjunto de principios como libertad e igualdad y hace la diferencia entre derecho constitucional y teoría de la constitución. El derecho es un orden jurídico constituido y establecido, a la teoría es en concreto una rama, es decir se dedica a una constitución específica."
DERECHO CONSTITUCIONAL,Concepto de Derecho Constitucional según Felipe Tena Ramírez:,"Define el derecho constitucional como la doctrina individual y especifica, de determinado régimen del Estado. No podemos cimentar, un derecho constitucional contrario a la Libertad. El derecho constitucional es del Estado, cuando el Estado es de Derecho."
DERECHO CONSTITUCIONAL,Concepto de Derecho Constitucional según Daniel Moreno Días:,"El derecho constitucional es una rama del derecho público, y su finalidad, es la constitución política y social del Estado."
DERECHO CONSTITUCIONAL,Concepto de Derecho Constitucional según Andre Hariou:,"Define al derecho constitucional, como el encuadramiento jurídico, de los fenómenos políticos encuadramiento que se realiza, dentro del marco de una constitución."
DERECHO CONSTITUCIONAL,Concepto de Derecho Constitucional según Maurice Louberger:,El derecho constitucional es la parte del derecho que regula las instituciones políticas del Estado estudiar el derecho constitucional es estudiar las instituciones políticas en sus aspectos jurídicos.
DERECHO CONSTITUCIONAL,Definición de CONSTITUCION,Hasta el siglo XIX una vez que se estableció la costumbre de reunir las normas jurídicas concernientes a las instituciones políticas en un texto especial de carácter solemne llamado constitución.
DERECHO CONSTITUCIONAL,Qué documento surgió en Inglaterra a principios del siglo XIII y que es origen de la Constitución y cual es su finalidad.,"LA CARTA MAGNA y su finalidad fue conseguir que esta sirviera como limitación de poder por parte de los gobernantes. Entre otras cosas exigidas, se pedía el favor de no violentar el derecho y se formó, en otras palabras, el derecho al debido proceso también se separó la iglesia del estado."
DERECHO CONSTITUCIONAL,Explica brevemente cual es el contenido de la Carta Magna de 1215.,"En ella se aseguran las propiedades y derechos feudales frente al poder del rey, se solicita que se establezca un senado, se establece que ninguna persona sea enjuiciada sin proceso por parte del monarca, se amplia la seguridad a campesinos, comerciantes etc."
DERECHO CONSTITUCIONAL,Qué documento surgió en Francia a finales del siglo XVIII y cual es su finalidad.,"La declaración de los derechos del hombre y del ciudadano, en donde se estableció principalmente los derechos fundamentales del hombre o las garantías individuales."
DERECHO CONSTITUCIONAL,Explica brevemente cual es el contenido de La Declaración de los Derechos del Hombre y del Ciudadano de 1789 en Francia.,"El artículo 2 enumera los derechos naturales e imprescriptibles del hombre, que son anteriores a los poderes establecidos y son considerados como aplicables en cualquier lugar y cualquier época: la libertad la propiedad la seguridad la resistencia a la opresión. Muchos artículos son dedicados a la libertad: Artículo 1: Los hombres nacen y permanecen libres e iguales en derechos Los artículos 4 y 5 intentan definir y circunscribir la libertad. Es definida como lo que no perjudica a nadie y sólo la ley le puede poner límites Los artículos 7, 8 y 9 precisan las características de la libertad individual: presunción de inocencia e irretroactividad de la ley Los artículos 10 y 11 se refieren a la libertad de opinión, de prensa y de conciencia."
